question,answer,type
Can students print in colour?,"Yes, in Multimedia Area.",original
Is 24-hour lab access available?,No; closes at 10 pm.,original
Who enforces no-games policy in labs?,Lab supervisors and security.,original
Can you eat in the multimedia lab?,No food or drinks anywhere in labs.,original
Are Mac labs available to non-journalism students?,"Yes, if course-related.",original
Who backs up z:\ folder?,ICT nightly.,original
How long is z:\ data retained after deletion?,"14 days recycle bin, then permanent.",original
Can students request larger z:\ quota?,"Yes, via helpdesk justification.",original
Is VPN access provided?,"Yes, for remote library databases.",original
Who approves software purchase requests?,ICT Director.,original
Are Linux machines available?,Limited; mainly server lab.,original
Can students use personal headphones in labs?,"Yes, if no disturbance.",original
Is there a 3-D printer on campus?,"Yes, in Multimedia Area by booking.",original
Who resolves Wi-Fi dead zones?,ICT Call Center Ext 333.,original
Can students loan laptops?,"Yes, short-term from Library circulation.",original
Is laptop loan free?,"Yes, refundable deposit required.",original
Who teaches OPAC training?,User Services Librarians.,original
Can students suggest new books?,"Yes, via suggestion box or email.",original
Are dissertations available online?,"Yes, via institutional repository.",original
Who manages the institutional repository?,Library Systems team.,original
Can alumni access e-resources remotely?,"Yes, after paying annual library fee.",original
Is there a quiet zone in the library?,Entire second floor designated quiet.,original
Are group discussions allowed in carrels?,"Yes, in specified group rooms.",original
How many simultaneous users on EBSCOhost?,Unlimited campus-wide.,original
Who fixes broken laptops in library?,ICT technicians submit ticket via helpdesk.,original
Can students borrow chargers?,"Yes, short-loan at circulation desk.",original
Is there a prayer room in the library?,No; use Student Center multipurpose room.,original
Can food be consumed in carrels?,No; strictly prohibited.,original
Who handles lost memory sticks?,Security lost-and-found.,original
Is there a book drop after hours?,"Yes, at library entrance.",original
Can students reserve specific carrels?,No; first-come-first-served.,original
Are power sockets available in carrels?,"Yes, every seat.",original
Who enforces shoe policy in library?,Security at entrance.,original
Is there a bell for closing time?,"Yes, two bells before 9 pm.",original
Can bags be left in carrels overnight?,No; risk of confiscation.,original
Are umbrellas allowed inside?,"Yes, but wet ones must be left at racks.",original
Does library have wheelchair access?,"Yes, ramps and elevator.",original
Who provides assistive technology?,Library & Disability Services.,original
Can students book projectors?,"Yes, multimedia services email.",original
Is there a color photocopier?,"Yes, in library.",original
Who fixes paper jams in copiers?,Library staff; report to desk.,original
Can students scan to email?,"Yes, free scanning available.",original
Is there a binding service?,"Yes, charged per copy.",original
Who handles laminating?,Library multimedia section.,original
Can students laminate ID photos?,"Yes, small fee.",original
Are staplers provided in library?,"Yes, on each floor.",original
Is there a pencil sharpener?,"Yes, near Information Desk.",original
Can students use whiteboard markers in carrels?,"Yes, provided erase after use.",original
Who cleans whiteboards?,Library attendants nightly.,original
Is there a lost-and-found in the library?,"Yes, at circulation desk.",original
Can overdue fines be paid online?,Not yet; cash or cheque at Finance.,original
Does library send overdue reminders?,"Yes, via student email.",original
Who manages library social media?,Library Communications team.,original
Are there library tours for freshmen?,"Yes, orientation week.",original
Can students donate books?,"Yes, consult Acquisition Librarian.",original
Does library accept newspaper donations?,"Yes, for archival purposes.",original
Who sets library rules?,University Librarian with Senate approval.,original
Can students appeal library fines?,"Yes, to Senior Librarian.",original
Are there library fines amnesty days?,Occasionally announced.,original
Does library have 24/7 Wi-Fi?,"Yes, inside and outside.",original
Who fixes Wi-Fi outages at night?,ICT on-call engineer.,original
Can students access lab software remotely?,"Yes, via virtual lab during COVID.",original
Is MATLAB available in labs?,"Yes, in Engineering labs.",original
Who licenses software?,ICT Department negotiates site licenses.,original
Can students request new software?,"Yes, via department heads.",original
Is SPSS in all labs?,"Yes, Statistics & Social Science labs.",original
Who updates software versions?,ICT annually or on need basis.,original
Is Adobe Creative Cloud available?,"Yes, in Multimedia and Journalism labs.",original
Can students install fonts?,"No, admin rights required.",original
Who fixes printer hardware faults?,ICT technicians.,original
Is color printing charged extra?,"Yes, higher rate than b/w.",original
Where to buy printing credits?,Finance cashiers or online portal.,original
Can printing credits be refunded?,"No, non-refundable.",original
Is there a daily printing limit?,"Yes, 100 pages default.",original
Can limit be increased?,"Yes, via supervisor request.",original
Who monitors printing abuse?,ICT logs and flags excessive use.,original
Is duplex printing default?,"Yes, to save paper.",original
Can students print on their own paper?,"No, university paper only.",original
Are there A3 printers?,"Yes, in Library & Design labs.",original
Who maintains plotters?,ICT multimedia team.,original
Is 3-D printing charged?,"Yes, per gram of filament.",original
Can students bring STL files?,"Yes, after orientation.",original
Who schedules 3-D printer time?,Multimedia services email booking.,original
Is there a waiting list for 3-D printing?,"Yes, FIFO queue.",original
Can students use external hard disks?,"Yes, scan for viruses first.",original
Is USB-C allowed in labs?,"Yes, standard ports available.",original
Who fixes keyboard faults?,Lab supervisors log with ICT.,original
Are ergonomic keyboards available?,"Yes, on request for special needs.",original
Is gaming mouse allowed?,"No, falls under games prohibition.",original
Can students change desktop wallpaper?,"No, policy violation.",original
Who resets forgotten passwords?,ICT helpdesk Ext 333.,original
Is there self-service password reset?,"Yes, via USIU Gmail.",original
Who handles email spam issues?,helpdesk@usiu.ac.ke.,original
Can students forward USIU email?,"Yes, via Gmail settings.",original
Is email quota unlimited?,"No, 30 GB per account.",original
Who manages alumni email?,Alumni office after graduation.,original
Can students keep email after graduation?,"Yes, alumni domain provided.",original
Is Zoom license provided?,"Yes, via ICT.",original
Who sets up Zoom webinars?,Multimedia services upon request.,original
